Program Version:,EnergyPlus, Version 25.1.0-c4ec94aef2, YMD=2025.07.17 21:22
Tabular Output Report in Format: ,Comma

Building:,Building 1
Environment:,CEA_DENVER_0509 (01-01:31-12) ** Denver Intl Ap CO USA TMY3 WMO#=725650

----------------------------------------------------------------------------------------------------
REPORT:,Annual Building Utility Performance Summary
FOR:,Entire Facility
Values gathered over        24.00 hours
WARNING: THE REPORT DOES NOT REPRESENT A FULL ANNUAL SIMULATION.

Site and Source Energy

,,Total Energy [GJ],Energy Per Total Building Area [MJ/m2],Energy Per Conditioned Building Area [MJ/m2]
,Total Site Energy,82.28,23.14,25.01
,Net Site Energy,82.28,23.14,25.01
,Total Source Energy,260.57,73.28,79.19
,Net Source Energy,260.57,73.28,79.19


Site to Source Energy Conversion Factors

,,Site=>Source Conversion Factor
,Electricity,3.167
,Natural Gas,1.084
,District Cooling,1.056
,District Heating Water,3.613
,District Heating Steam,1.200
,Gasoline,1.050
,Diesel,1.050
,Coal,1.050
,Fuel Oil No 1,1.050
,Fuel Oil No 2,1.050
,Propane,1.050
,Other Fuel 1,1.000
,Other Fuel 2,1.000


Building Area

,,Area [m2]
,Total Building Area,3555.99
,Net Conditioned Building Area,3290.34
,Unconditioned Building Area,265.65


End Uses

,,Electricity [GJ],Natural Gas [GJ],Gasoline [GJ],Diesel [GJ],Coal [GJ],Fuel Oil No 1 [GJ],Fuel Oil No 2 [GJ],Propane [GJ],Other Fuel 1 [GJ],Other Fuel 2 [GJ],District Cooling [GJ],District Heating Water [GJ],District Heating Steam [GJ],Water [m3]
,Heating,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Cooling,18.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Lighting,52.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,2.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Fans,4.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Pumps,3.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,46.94
,Humidification,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Water Systems,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Refrigeration,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,,,
,Total End Uses,82.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,46.94
Note: Electricity appears to be the principal heating source based on energy usage.


End Uses By Subcategory

,,Subcategory,Electricity [GJ],Natural Gas [GJ],Gasoline [GJ],Diesel [GJ],Coal [GJ],Fuel Oil No 1 [GJ],Fuel Oil No 2 [GJ],Propane [GJ],Other Fuel 1 [GJ],Other Fuel 2 [GJ],District Cooling [GJ],District Heating Water [GJ],District Heating Steam [GJ],Water [m3]
,Heating,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Cooling,344028.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Lighting,1150497.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,37668.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Fans,77044.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Pumps,38503.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,6590.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Humidification,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Water Systems,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Refrigeration,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,,,
,Total End Uses,1654333.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00


End Uses By Subcategory

,,Subcategory,Electricity [W],Natural Gas [W],Gasoline [W],Diesel [W],Coal [W],Fuel Oil No 1 [W],Fuel Oil No 2 [W],Propane [W],Other Fuel 1 [W],Other Fuel 2 [W],District Cooling [W],District Heating Water [W],District Heating Steam [W],Water [m3/s]
,Heating,General,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,Boiler,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,Boiler Parasitic,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Cooling,General,344028.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Lighting,ELECTRIC EQUIPMENT#MECH:MECH#GeneralLights,767.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#ELEVATOR:ELEVATOR#GeneralLights,245.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#STAIRS1:STAIRS1#GeneralLights,86.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#GA3F:GA3F#GeneralLights,12833.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#GA2F:GA2F#GeneralLights,12833.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#GA1F:GA1F#GeneralLights,12846.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#STAIRS2:STAIRS2#GeneralLights,96.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#MECHSHAFT:MECHSHAFT#GeneralLights,2390.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#GERMINATION:GERMINATION#GeneralLights,708.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#NGA:LUNCH#GeneralLights,244.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#NGA:MENS#GeneralLights,250.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#NGA:WOMENS#GeneralLights,250.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#NGA:STORAGE#GeneralLights,250.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#NGA:OFFICE#GeneralLights,250.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#NGA:SERVICE#GeneralLights,244.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#NGA:TRANSPLANT#GeneralLights,697.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#NGA:CAS#GeneralLights,2654.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#NGA:CLEANING#GeneralLights,352.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,IndoorLivingWall,1102492.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting,General,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,General,37668.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,General,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Fans,General,77044.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Pumps,General,38503.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,General,6590.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Humidification,General,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,General,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Water Systems,General,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Refrigeration,General,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,General,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00


----------------------------------------------------------------------------------------------------
REPORT:,Component Sizing Summary
FOR:,Entire Facility
AirTerminal:SingleDuct:VAV:NoReheat

,,Design Size Maximum Air Flow Rate [m3/s],Design Size Constant Minimum Air Flow Fraction,User-Specified Constant Minimum Air Flow Fraction,Design Size Minimum Air Flow Rate [m3/s]
,GA3F:GA3F VAV,36.79,0.019688,0.300000,11.04
,GA2F:GA2F VAV,30.49,0.023756,0.300000,9.15
,GA1F:GA1F VAV,21.09,0.034377,0.300000,6.33
User-Specified values were used. Design Size values were used if no User-Specified values were provided. Design Size values may be derived from alternate User-Specified values.


ZoneHVAC:PackagedTerminalHeatPump

,,Design Size Cooling Supply Air Flow Rate [m3/s],Design Size Heating Supply Air Flow Rate [m3/s],User-Specified No Load Supply Air Flow Rate [m3/s],Design Size Outdoor Air Flow Rate During Cooling Operation [m3/s],Design Size Outdoor Air Flow Rate During Heating Operation [m3/s],Design Size Outdoor Air Flow Rate When No Cooling or Heating is Needed [m3/s],Design Size Maximum Supply Air Temperature from Supplemental Heater [C]
,GERMINATION:GERMINATION PTHP,0.439016,0.439016,0.000000,0.000000,0.000000,0.000000,50.00
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


Coil:Cooling:DX:SingleSpeed

,,Design Size Rated Air Flow Rate [m3/s],Design Size Gross Rated Total Cooling Capacity [W],Design Size Gross Rated Sensible Heat Ratio
,GERMINATION:GERMINATION PTHP COOLING COIL,0.439016,7267.27,0.800655
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


Coil:Heating:DX:SingleSpeed

,,Design Size Rated Air Flow Rate [m3/s],Design Size Gross Rated Heating Capacity [W]
,GERMINATION:GERMINATION PTHP HEATING COIL,0.439016,7267.27
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


Fan:OnOff

,,Design Size Maximum Flow Rate [m3/s],Design Electric Power Consumption [W]
,GERMINATION:GERMINATION PTHP SUPPLY FAN,0.439016,47.04
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


Coil:Heating:Electric

,,Design Size Nominal Capacity [W]
,GERMINATION:GERMINATION PTHP SUPP HEATING COIL,1795.76
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


AirTerminal:SingleDuct:VAV:Reheat

,,Design Size Maximum Air Flow Rate [m3/s],Design Size Constant Minimum Air Flow Fraction,User-Specified Constant Minimum Air Flow Fraction,Design Size Minimum Air Flow Rate [m3/s],Design Size Maximum Flow per Zone Floor Area during Reheat [m3/s-m2],Design Size Maximum Flow Fraction during Reheat [],Design Size Maximum Reheat Water Flow Rate [m3/s],Design Size Reheat Coil Sizing Air Volume Flow Rate [m3/s],Design Size Reheat Coil Sizing Inlet Air Temperature [C],Design Size Reheat Coil Sizing Inlet Air Humidity Ratio [kgWater/kgDryAir]
,NGA:LUNCH VAV REHEAT,0.069545,0.198747,0.300000,0.020864,0.003834,1.00,0.000036,0.053355,20.00,0.008000
,NGA:MENS VAV REHEAT,0.042210,0.335608,0.300000,0.012663,0.002271,1.00,0.000023,0.034657,20.00,0.008000
,NGA:WOMENS VAV REHEAT,0.039989,0.354250,0.300000,0.011997,0.002151,1.00,0.000023,0.034117,20.00,0.008000
,NGA:STORAGE VAV REHEAT,0.041053,0.345065,0.300000,0.012316,0.002208,1.00,0.000023,0.034279,20.00,0.008000
,NGA:OFFICE VAV REHEAT,0.051039,0.277555,0.300000,0.015312,0.002745,1.00,0.000025,0.037261,20.00,0.008000
,NGA:SERVICE VAV REHEAT,0.057258,0.241396,0.300000,0.017178,0.003157,1.00,0.000036,0.053523,20.00,0.008000
,NGA:TRANSPLANT VAV REHEAT,0.147926,0.266060,0.300000,0.044378,0.002864,1.00,0.000068,0.101828,20.00,0.008000
,NGA:CAS VAV REHEAT,0.433901,0.345265,0.300000,0.130170,0.002207,1.00,0.000180,0.269506,20.00,0.008000
,NGA:CLEANING VAV REHEAT,0.121527,0.163709,0.300000,0.036458,0.004655,1.00,0.000023,0.036458,20.00,0.008000
User-Specified values were used. Design Size values were used if no User-Specified values were provided. Design Size values may be derived from alternate User-Specified values.


Coil:Heating:Water

,,Design Size Rated Capacity [W],Design Size Maximum Water Flow Rate [m3/s],Design Size U-Factor Times Area Value [W/K]
,NGA:LUNCH REHEAT COIL,1610.38,0.000036,41.02
,NGA:MENS REHEAT COIL,1046.04,0.000023,26.65
,NGA:WOMENS REHEAT COIL,1029.74,0.000023,26.23
,NGA:STORAGE REHEAT COIL,1034.62,0.000023,26.36
,NGA:OFFICE REHEAT COIL,1124.62,0.000025,28.65
,NGA:SERVICE REHEAT COIL,1615.46,0.000036,41.15
,NGA:TRANSPLANT REHEAT COIL,3073.42,0.000068,78.30
,NGA:CAS REHEAT COIL,8134.38,0.000180,207.23
,NGA:CLEANING REHEAT COIL,1051.74,0.000023,26.29
,NGA VAV HEATING COIL,18622.23,0.000411,256.00
,GA1F VAV HEATING COIL,15709.68,0.000347,276.70
,GA2F VAV HEATING COIL,22517.36,0.000497,396.63
,GA3F VAV HEATING COIL,27080.90,0.000598,477.02
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


AirLoopHVAC

,,Sum of Air Terminal Maximum Heating Flow Rates [m3/s],Sum of Air Terminal Minimum Heating Flow Rates [m3/s],Sum of Air Terminal Maximum Flow Rates [m3/s],Adjusted Heating Design Air Flow Rate [m3/s],Adjusted Cooling Design Air Flow Rate [m3/s],Adjusted Main Design Air Flow Rate [m3/s],User Heating Air Flow Ratio [],Calculated Heating Air Flow Ratio [],Design Supply Air Flow Rate [m3/s]
,NGA VAV,1.00,0.301335,1.00,1.00,1.00,1.00,0.500000,1.00,1.00
,GA1F VAV,6.33,6.33,21.09,6.33,21.09,21.09,0.500000,0.300000,21.09
,GA2F VAV,9.15,9.15,30.49,9.15,30.49,30.49,0.500000,0.300000,30.49
,GA3F VAV,11.04,11.04,36.79,11.04,36.79,36.79,0.500000,0.300000,36.79
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


Controller:OutdoorAir

,,Maximum Outdoor Air Flow Rate [m3/s],Minimum Outdoor Air Flow Rate [m3/s]
,NGA VAV OA CONTROLLER,1.00,0.534190
,GA1F VAV OA CONTROLLER,21.09,0.012164
,GA2F VAV OA CONTROLLER,30.49,0.012153
,GA3F VAV OA CONTROLLER,36.79,0.012153
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


Coil:Cooling:Water

,,Design Size Design Inlet Air Temperature [C],Design Size Design Inlet Water Temperature [C],Design Size Design Outlet Air Temperature [C],Design Size Design Inlet Air Humidity Ratio [kgWater/kgDryAir],Design Size Design Outlet Air Humidity Ratio [kgWater/kgDryAir],Design Size Design Coil Load [W],Design Size Design Water Flow Rate [m3/s],Design Size Design Air Flow Rate [m3/s]
,NGA VAV COOLING COIL,25.65,7.22,11.39,0.011281,0.008000,22702.21,0.000811,1.00
,GA1F VAV COOLING COIL,19.45,7.22,11.39,0.012727,0.008000,420581.41,0.015022,21.09
,GA2F VAV COOLING COIL,19.44,7.22,11.39,0.012078,0.008000,558236.36,0.019939,30.49
,GA3F VAV COOLING COIL,19.44,7.22,11.39,0.011671,0.008000,636087.22,0.022720,36.79
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


Fan:VariableVolume

,,Design Size Maximum Flow Rate [m3/s],Design Electric Power Consumption [W]
,NGA VAV SUPPLY FAN,1.00,1434.93
,GA1F VAV SUPPLY FAN,21.09,30132.73
,GA2F VAV SUPPLY FAN,30.49,43561.86
,GA3F VAV SUPPLY FAN,36.79,52563.53
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


Controller:WaterCoil

,,Maximum Actuated Flow [m3/s],Controller Convergence Tolerance
,NGA VAV COOLING COIL CONTROLLER,0.000811,0.000587
,NGA VAV HEATING COIL CONTROLLER,0.000411,0.001000
,GA1F VAV COOLING COIL CONTROLLER,0.015022,0.000032
,GA1F VAV HEATING COIL CONTROLLER,0.000347,0.001000
,GA2F VAV COOLING COIL CONTROLLER,0.019939,0.000024
,GA2F VAV HEATING COIL CONTROLLER,0.000497,0.000957
,GA3F VAV COOLING COIL CONTROLLER,0.022720,0.000021
,GA3F VAV HEATING COIL CONTROLLER,0.000598,0.000796
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


PlantLoop

,,Maximum Loop Flow Rate [m3/s],Plant Loop Volume [m3],Design Supply Temperature [C],Design Return Temperature [C],Sizing option (Coincident/NonCoincident),Minimum Loop Flow Rate [m3/s],Design Capacity [W]
,HOT WATER LOOP HOT WATER LOOP,0.002290,0.274804,82.00,71.00,1.00,0.000000,105736.58
,CHILLED WATER LOOP CHILLED WATER LOOP,0.058492,7.02,7.22,0.550000,1.00,0.000000,1637607.20
,CHILLED WATER LOOP CONDENSER WATER LOOP,,,,,,,2167594.11
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


Pump:ConstantSpeed

,,Design Flow Rate [m3/s],Design Power Consumption [W]
,HOT WATER LOOP HW SUPPLY PUMP,0.002290,585.07
,CHILLED WATER LOOP CHW SUPPLY PUMP,0.058492,14943.84
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


Boiler:HotWater

,,Design Size Nominal Capacity [W],Design Size Design Water Flow Rate [m3/s]
,CEA_DENVER BOILER,103650.57,0.002290
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


Chiller:Electric:EIR

,,Design Size Reference Chilled Water Flow Rate [m3/s],Design Size Reference Capacity [W],Design Size Reference Condenser Fluid Flow Rate [m3/s]
,CEA_DENVER CHILLER,0.058492,1637607.20,0.092214
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


CondenserLoop

,,Maximum Loop Flow Rate [m3/s],Condenser Loop Volume [m3],Design Supply Temperature [C],Design Return Temperature [C],Sizing option (Coincident/NonCoincident),Minimum Loop Flow Rate [m3/s]
,CHILLED WATER LOOP CONDENSER WATER LOOP,0.092214,11.07,29.40,23.80,1.00,0.000000
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


Pump:VariableSpeed

,,Design Flow Rate [m3/s],Design Power Consumption [W]
,CHILLED WATER LOOP CNDW SUPPLY PUMP,0.092214,23559.61
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


CoolingTower:SingleSpeed

,,Design Water Flow Rate [m3/s],Fan Power at Design Air Flow Rate [W],Design Air Flow Rate [m3/s],U-Factor Times Area Value at Design Air Flow Rate [W/C],Free Convection Regime Air Flow Rate [m3/s],Free Convection U-Factor Times Area Value [W/K]
,MAIN TOWER,0.092214,22661.88,72.79,102499.24,7.28,10249.92
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


----------------------------------------------------------------------------------------------------
REPORT:,Adaptive Comfort Summary
FOR:,Entire Facility
Time Not Meeting the Adaptive Comfort Models during Occupied Hours

,,ASHRAE55 90% Acceptability Limits [Hours],ASHRAE55 80% Acceptability Limits  [Hours],CEN15251 Category I Acceptability Limits [Hours],CEN15251 Category II Acceptability Limits [Hours],CEN15251 Category III Acceptability Limits [Hours]


----------------------------------------------------------------------------------------------------
REPORT:,Climatic Data Summary
FOR:,Entire Facility
SizingPeriod:DesignDay

,,Maximum Dry Bulb [C],Daily Temperature Range [deltaC],Humidity Value,Humidity Type,Wind Speed [m/s],Wind Direction
,DENVER INTL AP ANN HTG 99.6% CONDNS DB,-17.40,0.00,-17.40,Wetbulb [C],3.30,160.00
,DENVER INTL AP ANN CLG .4% CONDNS WB=>MDB,27.30,15.20,18.30,Wetbulb [C],4.20,80.00


Monthly Precipitation Summary

,,Monthly Total Precipitation from .epw [mm],Monthly Total Hours of Rain from .epw,Monthly Total Precipitation in Site:Precipitation [mm],Monthly Total Roof Irrigation Depth [mm],Monthly Total Rain Collection Volume [m3]
,Jan,0.00,0,0.00,,
,Feb,0.00,0,0.00,,
,Mar,0.00,0,0.00,,
,Apr,0.00,0,0.00,,
,May,0.00,0,0.00,,
,Jun,0.00,0,0.00,,
,Jul,0.00,0,24000.00,,
,Aug,0.00,0,0.00,,
,Sep,0.00,0,0.00,,
,Oct,0.00,0,0.00,,
,Nov,0.00,0,0.00,,
,Dec,0.00,0,0.00,,


Weather Statistics File

,,Value
,None,


----------------------------------------------------------------------------------------------------
REPORT:,Envelope Summary
FOR:,Entire Facility
Opaque Exterior

,,Construction,Zone,Space,Reflectance,U-Factor with Film [W/m2-K],U-Factor no Film [W/m2-K],Gross Area [m2],Net Area [m2],Azimuth [deg],Tilt [deg],Cardinal Direction
,MECH:MECH_WALL_4_0_0,CEA_DENVER EXTERNAL WALL - ELEVATOR,MECH:MECH,MECH:MECH,0.30,4.201,11.319,19.32,19.32,270.00,90.00,W
,MECH:MECH_GROUNDFLOOR_0_0_0,CEA_DENVER FLOOR - GROWINGAREA,MECH:MECH,MECH:MECH,0.30,4.364,14.895,22.10,22.10,0.00,180.00,
,MECH:MECH_GROUNDFLOOR_0_0_1,CEA_DENVER FLOOR - GROWINGAREA,MECH:MECH,MECH:MECH,0.30,4.364,14.895,36.29,36.29,0.00,180.00,
,MECH:MECH_ROOF_1_0_0,CEA_DENVER ROOF - GROWINGAREA,MECH:MECH,MECH:MECH,0.40,0.107,0.108,17.34,17.34,180.00,0.00,
,MECH:MECH_ROOF_1_0_1,CEA_DENVER ROOF - GROWINGAREA,MECH:MECH,MECH:MECH,0.40,0.107,0.108,41.06,41.06,180.00,0.00,
,ELEVATOR:ELEVATOR_WALL_2_0_0,CEA_DENVER EXTERNAL WALL - ELEVATOR,ELEVATOR:ELEVATOR,ELEVATOR:ELEVATOR,0.30,4.201,11.319,20.80,20.80,90.00,90.00,E
,ELEVATOR:ELEVATOR_WALL_2_1_0,CEA_DENVER EXTERNAL WALL - ELEVATOR,ELEVATOR:ELEVATOR,ELEVATOR:ELEVATOR,0.30,4.805,11.319,3.47,3.47,90.00,90.00,E
,ELEVATOR:ELEVATOR_WALL_3_4_0,CEA_DENVER EXTERNAL WALL - ELEVATOR,ELEVATOR:ELEVATOR,ELEVATOR:ELEVATOR,0.30,4.805,11.319,8.67,8.67,0.00,90.00,N
,ELEVATOR:ELEVATOR_WALL_4_1_0,CEA_DENVER EXTERNAL WALL - ELEVATOR,ELEVATOR:ELEVATOR,ELEVATOR:ELEVATOR,0.30,4.201,11.319,20.80,20.80,270.00,90.00,W
,ELEVATOR:ELEVATOR_WALL_4_2_0,CEA_DENVER EXTERNAL WALL - ELEVATOR,ELEVATOR:ELEVATOR,ELEVATOR:ELEVATOR,0.30,4.805,11.319,3.47,3.47,270.00,90.00,W
,ELEVATOR:ELEVATOR_WALL_5_1_0,CEA_DENVER EXTERNAL WALL - ELEVATOR,ELEVATOR:ELEVATOR,ELEVATOR:ELEVATOR,0.30,4.201,11.319,52.02,52.02,180.00,90.00,S
,ELEVATOR:ELEVATOR_WALL_5_2_0,CEA_DENVER EXTERNAL WALL - ELEVATOR,ELEVATOR:ELEVATOR,ELEVATOR:ELEVATOR,0.30,4.805,11.319,8.67,8.67,180.00,90.00,S
,ELEVATOR:ELEVATOR_GROUNDFLOOR_0_0_0,CEA_DENVER FLOOR - GROWINGAREA,ELEVATOR:ELEVATOR,ELEVATOR:ELEVATOR,0.30,4.364,14.895,20.22,20.22,0.00,180.00,
,ELEVATOR:ELEVATOR_ROOF_1_0_0,CEA_DENVER ROOF - GROWINGAREA,ELEVATOR:ELEVATOR,ELEVATOR:ELEVATOR,0.40,0.107,0.108,20.22,20.22,180.00,0.00,
,STAIRS1:STAIRS1_WALL_2_0_0,CEA_DENVER EXTERNAL WALL - ELEVATOR,STAIRS1:STAIRS1,STAIRS1:STAIRS1,0.30,4.201,11.319,20.07,20.07,90.00,90.00,E
,STAIRS1:STAIRS1_WALL_4_0_0,CEA_DENVER EXTERNAL WALL - ELEVATOR,STAIRS1:STAIRS1,STAIRS1:STAIRS1,0.30,4.201,11.319,20.07,20.07,270.00,90.00,W
,STAIRS1:STAIRS1_WALL_5_0_0,CEA_DENVER EXTERNAL WALL - ELEVATOR,STAIRS1:STAIRS1,STAIRS1:STAIRS1,0.30,4.201,11.319,47.93,47.93,180.00,90.00,S
