Program Version:,EnergyPlus, Version 25.1.0-c4ec94aef2, YMD=2025.07.02 12:31
Tabular Output Report in Format: ,Comma

Building:,Building 1
Environment:,CEA_DENVER_0509 (01-01:31-12) ** Denver Intl Ap CO USA TMY3 WMO#=725650

----------------------------------------------------------------------------------------------------
REPORT:,Annual Building Utility Performance Summary
FOR:,Entire Facility
Values gathered over      8760.00 hours

Site and Source Energy

,,Total Energy [GJ],Energy Per Total Building Area [MJ/m2],Energy Per Conditioned Building Area [MJ/m2]
,Total Site Energy,25586.46,7195.30,7776.23
,Net Site Energy,25586.46,7195.30,7776.23
,Total Source Energy,81032.33,22787.53,24627.31
,Net Source Energy,81032.33,22787.53,24627.31


Site to Source Energy Conversion Factors

,,Site=>Source Conversion Factor
,Electricity,3.167
,Natural Gas,1.084
,District Cooling,1.056
,District Heating Water,3.613
,District Heating Steam,1.200
,Gasoline,1.050
,Diesel,1.050
,Coal,1.050
,Fuel Oil No 1,1.050
,Fuel Oil No 2,1.050
,Propane,1.050
,Other Fuel 1,1.000
,Other Fuel 2,1.000


Building Area

,,Area [m2]
,Total Building Area,3555.99
,Net Conditioned Building Area,3290.34
,Unconditioned Building Area,265.65


End Uses

,,Electricity [GJ],Natural Gas [GJ],Gasoline [GJ],Diesel [GJ],Coal [GJ],Fuel Oil No 1 [GJ],Fuel Oil No 2 [GJ],Propane [GJ],Other Fuel 1 [GJ],Other Fuel 2 [GJ],District Cooling [GJ],District Heating Water [GJ],District Heating Steam [GJ],Water [m3]
,Heating,140.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Cooling,3438.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Lighting,17198.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,714.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Fans,3444.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Pumps,600.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,49.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10303.03
,Humidification,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Water Systems,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Refrigeration,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,,,
,Total End Uses,25586.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10303.03
Note: Electricity appears to be the principal heating source based on energy usage.


End Uses By Subcategory

,,Subcategory,Electricity [GJ],Natural Gas [GJ],Gasoline [GJ],Diesel [GJ],Coal [GJ],Fuel Oil No 1 [GJ],Fuel Oil No 2 [GJ],Propane [GJ],Other Fuel 1 [GJ],Other Fuel 2 [GJ],District Cooling [GJ],District Heating Water [GJ],District Heating Steam [GJ],Water [m3]
,Heating,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Cooling,442174.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Lighting,836492.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,37668.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Fans,120934.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Pumps,35915.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,10783.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Humidification,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Water Systems,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Refrigeration,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,,,
,Total End Uses,1483968.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00


End Uses By Subcategory

,,Subcategory,Electricity [W],Natural Gas [W],Gasoline [W],Diesel [W],Coal [W],Fuel Oil No 1 [W],Fuel Oil No 2 [W],Propane [W],Other Fuel 1 [W],Other Fuel 2 [W],District Cooling [W],District Heating Water [W],District Heating Steam [W],Water [m3/s]
,Heating,General,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,Boiler,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,Boiler Parasitic,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Cooling,General,442174.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Lighting,ELECTRIC EQUIPMENT#MECH:MECH#GeneralLights,767.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#ELEVATOR:ELEVATOR#GeneralLights,245.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#STAIRS1:STAIRS1#GeneralLights,86.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#GA3F:GA3F#GeneralLights,12833.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#GA2F:GA2F#GeneralLights,12833.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#GA1F:GA1F#GeneralLights,12846.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#STAIRS2:STAIRS2#GeneralLights,96.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#MECHSHAFT:MECHSHAFT#GeneralLights,2390.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#GERMINATION:GERMINATION#GeneralLights,708.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#NGA:LUNCH#GeneralLights,244.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#NGA:MENS#GeneralLights,250.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#NGA:WOMENS#GeneralLights,250.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#NGA:STORAGE#GeneralLights,250.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#NGA:OFFICE#GeneralLights,250.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#NGA:SERVICE#GeneralLights,244.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#NGA:TRANSPLANT#GeneralLights,697.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#NGA:CAS#GeneralLights,2654.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#NGA:CLEANING#GeneralLights,352.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,IndoorLivingWall,788486.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting,General,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,General,37668.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,General,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Fans,General,120934.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Pumps,General,35915.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,General,10783.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Humidification,General,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,General,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Water Systems,General,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Refrigeration,General,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,General,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00


----------------------------------------------------------------------------------------------------
REPORT:,Component Sizing Summary
FOR:,Entire Facility
AirTerminal:SingleDuct:VAV:NoReheat

,,Design Size Maximum Air Flow Rate [m3/s],Design Size Constant Minimum Air Flow Fraction,User-Specified Constant Minimum Air Flow Fraction,Design Size Minimum Air Flow Rate [m3/s]
,GA3F:GA3F VAV,66.70,0.010860,0.300000,20.01
,GA2F:GA2F VAV,59.25,0.012225,0.300000,17.78
,GA1F:GA1F VAV,43.29,0.016750,0.300000,12.99
User-Specified values were used. Design Size values were used if no User-Specified values were provided. Design Size values may be derived from alternate User-Specified values.


ZoneHVAC:PackagedTerminalHeatPump

,,Design Size Cooling Supply Air Flow Rate [m3/s],Design Size Heating Supply Air Flow Rate [m3/s],User-Specified No Load Supply Air Flow Rate [m3/s],Design Size Outdoor Air Flow Rate During Cooling Operation [m3/s],Design Size Outdoor Air Flow Rate During Heating Operation [m3/s],Design Size Outdoor Air Flow Rate When No Cooling or Heating is Needed [m3/s],Design Size Maximum Supply Air Temperature from Supplemental Heater [C]
,GERMINATION:GERMINATION PTHP,0.328091,0.328091,0.000000,0.000000,0.000000,0.000000,50.00
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


Coil:Cooling:DX:SingleSpeed

,,Design Size Rated Air Flow Rate [m3/s],Design Size Gross Rated Total Cooling Capacity [W],Design Size Gross Rated Sensible Heat Ratio
,GERMINATION:GERMINATION PTHP COOLING COIL,0.328091,5431.07,0.800655
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


Coil:Heating:DX:SingleSpeed

,,Design Size Rated Air Flow Rate [m3/s],Design Size Gross Rated Heating Capacity [W]
,GERMINATION:GERMINATION PTHP HEATING COIL,0.328091,5431.07
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


Fan:OnOff

,,Design Size Maximum Flow Rate [m3/s],Design Electric Power Consumption [W]
,GERMINATION:GERMINATION PTHP SUPPLY FAN,0.328091,35.15
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


Coil:Heating:Electric

,,Design Size Nominal Capacity [W]
,GERMINATION:GERMINATION PTHP SUPP HEATING COIL,1384.05
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


AirTerminal:SingleDuct:VAV:Reheat

,,Design Size Maximum Air Flow Rate [m3/s],Design Size Constant Minimum Air Flow Fraction,User-Specified Constant Minimum Air Flow Fraction,Design Size Minimum Air Flow Rate [m3/s],Design Size Maximum Flow per Zone Floor Area during Reheat [m3/s-m2],Design Size Maximum Flow Fraction during Reheat [],Design Size Maximum Reheat Water Flow Rate [m3/s],Design Size Reheat Coil Sizing Air Volume Flow Rate [m3/s],Design Size Reheat Coil Sizing Inlet Air Temperature [C],Design Size Reheat Coil Sizing Inlet Air Humidity Ratio [kgWater/kgDryAir]
,NGA:LUNCH VAV REHEAT,0.061423,0.225027,0.300000,0.018427,0.003386,1.00,0.000036,0.053241,20.00,0.008000
,NGA:MENS VAV REHEAT,0.039253,0.360890,0.300000,0.011776,0.002111,1.00,0.000023,0.034589,20.00,0.008000
,NGA:WOMENS VAV REHEAT,0.037093,0.381903,0.300000,0.011128,0.001995,1.00,0.000023,0.034047,20.00,0.008000
,NGA:STORAGE VAV REHEAT,0.037983,0.372961,0.300000,0.011395,0.002043,1.00,0.000023,0.034208,20.00,0.008000
,NGA:OFFICE VAV REHEAT,0.047336,0.299265,0.300000,0.014201,0.002546,1.00,0.000025,0.037190,20.00,0.008000
,NGA:SERVICE VAV REHEAT,0.055378,0.249593,0.300000,0.016613,0.003053,1.00,0.000036,0.053410,20.00,0.008000
,NGA:TRANSPLANT VAV REHEAT,0.132251,0.297595,0.300000,0.039675,0.002561,1.00,0.000068,0.101502,20.00,0.008000
,NGA:CAS VAV REHEAT,0.411045,0.364464,0.300000,0.123314,0.002091,1.00,0.000178,0.267614,20.00,0.008000
,NGA:CLEANING VAV REHEAT,0.102861,0.193416,0.300000,0.030858,0.003940,1.00,0.000022,0.033293,20.00,0.008000
User-Specified values were used. Design Size values were used if no User-Specified values were provided. Design Size values may be derived from alternate User-Specified values.


Coil:Heating:Water

,,Design Size Rated Capacity [W],Design Size Maximum Water Flow Rate [m3/s],Design Size U-Factor Times Area Value [W/K]
,NGA:LUNCH REHEAT COIL,1607.17,0.000036,40.95
,NGA:MENS REHEAT COIL,1044.08,0.000023,26.60
,NGA:WOMENS REHEAT COIL,1027.72,0.000023,26.18
,NGA:STORAGE REHEAT COIL,1032.59,0.000023,26.31
,NGA:OFFICE REHEAT COIL,1122.60,0.000025,28.60
,NGA:SERVICE REHEAT COIL,1612.25,0.000036,41.07
,NGA:TRANSPLANT REHEAT COIL,3063.73,0.000068,78.05
,NGA:CAS REHEAT COIL,8078.00,0.000178,205.80
,NGA:CLEANING REHEAT COIL,1004.82,0.000022,25.60
,NGA VAV HEATING COIL,17142.30,0.000379,235.66
,GA1F VAV HEATING COIL,43345.98,0.000958,761.50
,GA2F VAV HEATING COIL,59172.92,0.001307,1039.58
,GA3F VAV HEATING COIL,66557.02,0.001470,1169.31
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


AirLoopHVAC

,,Sum of Air Terminal Maximum Heating Flow Rates [m3/s],Sum of Air Terminal Minimum Heating Flow Rates [m3/s],Sum of Air Terminal Maximum Flow Rates [m3/s],Adjusted Heating Design Air Flow Rate [m3/s],Adjusted Cooling Design Air Flow Rate [m3/s],Adjusted Main Design Air Flow Rate [m3/s],User Heating Air Flow Ratio [],Calculated Heating Air Flow Ratio [],Design Supply Air Flow Rate [m3/s]
,NGA VAV,0.924624,0.277387,0.924624,0.924624,0.924624,0.924624,0.500000,1.00,0.924624
,GA1F VAV,12.99,12.99,43.29,12.99,43.29,43.29,0.500000,0.300000,43.29
,GA2F VAV,17.78,17.78,59.25,17.78,59.25,59.25,0.500000,0.300000,59.25
,GA3F VAV,20.01,20.01,66.70,20.01,66.70,66.70,0.500000,0.300000,66.70
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


Controller:OutdoorAir

,,Maximum Outdoor Air Flow Rate [m3/s],Minimum Outdoor Air Flow Rate [m3/s]
,NGA VAV OA CONTROLLER,0.924624,0.534190
,GA1F VAV OA CONTROLLER,43.29,0.012164
,GA2F VAV OA CONTROLLER,59.25,0.012153
,GA3F VAV OA CONTROLLER,66.70,0.012153
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


Coil:Cooling:Water

,,Design Size Design Inlet Air Temperature [C],Design Size Design Inlet Water Temperature [C],Design Size Design Outlet Air Temperature [C],Design Size Design Inlet Air Humidity Ratio [kgWater/kgDryAir],Design Size Design Outlet Air Humidity Ratio [kgWater/kgDryAir],Design Size Design Coil Load [W],Design Size Design Water Flow Rate [m3/s],Design Size Design Air Flow Rate [m3/s]
,NGA VAV COOLING COIL,24.57,7.22,11.39,0.011447,0.008000,20269.34,0.000724,0.924624
,GA1F VAV COOLING COIL,20.00,7.22,11.38,0.008111,0.008000,387358.95,0.013836,43.29
,GA2F VAV COOLING COIL,20.00,7.22,11.38,0.008079,0.008000,525453.45,0.018768,59.25
,GA3F VAV COOLING COIL,20.00,7.22,11.38,0.008097,0.008000,594459.81,0.021233,66.70
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


Fan:VariableVolume

,,Design Size Maximum Flow Rate [m3/s],Design Electric Power Consumption [W]
,NGA VAV SUPPLY FAN,0.924624,1320.89
,GA1F VAV SUPPLY FAN,43.29,61842.91
,GA2F VAV SUPPLY FAN,59.25,84648.85
,GA3F VAV SUPPLY FAN,66.70,95288.75
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


Controller:WaterCoil

,,Maximum Actuated Flow [m3/s],Controller Convergence Tolerance
,NGA VAV COOLING COIL CONTROLLER,0.000724,0.000658
,NGA VAV HEATING COIL CONTROLLER,0.000379,0.001000
,GA1F VAV COOLING COIL CONTROLLER,0.013836,0.000034
,GA1F VAV HEATING COIL CONTROLLER,0.000958,0.000497
,GA2F VAV COOLING COIL CONTROLLER,0.018768,0.000025
,GA2F VAV HEATING COIL CONTROLLER,0.001307,0.000364
,GA3F VAV COOLING COIL CONTROLLER,0.021233,0.000022
,GA3F VAV HEATING COIL CONTROLLER,0.001470,0.000324
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


PlantLoop

,,Maximum Loop Flow Rate [m3/s],Plant Loop Volume [m3],Design Supply Temperature [C],Design Return Temperature [C],Sizing option (Coincident/NonCoincident),Minimum Loop Flow Rate [m3/s],Design Capacity [W]
,HOT WATER LOOP HOT WATER LOOP,0.004547,0.545658,82.00,71.00,1.00,0.000000,209953.20
,CHILLED WATER LOOP CHILLED WATER LOOP,0.054560,6.55,7.22,0.550000,1.00,0.000000,1527541.56
,CHILLED WATER LOOP CONDENSER WATER LOOP,,,,,,,2021907.39
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


Pump:ConstantSpeed

,,Design Flow Rate [m3/s],Design Power Consumption [W]
,HOT WATER LOOP HW SUPPLY PUMP,0.004547,1161.74
,CHILLED WATER LOOP CHW SUPPLY PUMP,0.054560,13939.44
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


Boiler:HotWater

,,Design Size Nominal Capacity [W],Design Size Design Water Flow Rate [m3/s]
,CEA_DENVER BOILER,205811.17,0.004547
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


Chiller:Electric:EIR

,,Design Size Reference Chilled Water Flow Rate [m3/s],Design Size Reference Capacity [W],Design Size Reference Condenser Fluid Flow Rate [m3/s]
,CEA_DENVER CHILLER,0.054560,1527541.56,0.086017
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


CondenserLoop

,,Maximum Loop Flow Rate [m3/s],Condenser Loop Volume [m3],Design Supply Temperature [C],Design Return Temperature [C],Sizing option (Coincident/NonCoincident),Minimum Loop Flow Rate [m3/s]
,CHILLED WATER LOOP CONDENSER WATER LOOP,0.086017,10.32,29.40,23.80,1.00,0.000000
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


Pump:VariableSpeed

,,Design Flow Rate [m3/s],Design Power Consumption [W]
,CHILLED WATER LOOP CNDW SUPPLY PUMP,0.086017,21976.14
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


CoolingTower:SingleSpeed

,,Design Water Flow Rate [m3/s],Fan Power at Design Air Flow Rate [W],Design Air Flow Rate [m3/s],U-Factor Times Area Value at Design Air Flow Rate [W/C],Free Convection Regime Air Flow Rate [m3/s],Free Convection U-Factor Times Area Value [W/K]
,MAIN TOWER,0.086017,21138.74,67.90,95610.14,6.79,9561.01
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


----------------------------------------------------------------------------------------------------
REPORT:,Adaptive Comfort Summary
FOR:,Entire Facility
Time Not Meeting the Adaptive Comfort Models during Occupied Hours

,,ASHRAE55 90% Acceptability Limits [Hours],ASHRAE55 80% Acceptability Limits  [Hours],CEN15251 Category I Acceptability Limits [Hours],CEN15251 Category II Acceptability Limits [Hours],CEN15251 Category III Acceptability Limits [Hours]


----------------------------------------------------------------------------------------------------
REPORT:,Climatic Data Summary
FOR:,Entire Facility
SizingPeriod:DesignDay

,,Maximum Dry Bulb [C],Daily Temperature Range [deltaC],Humidity Value,Humidity Type,Wind Speed [m/s],Wind Direction
,DENVER INTL AP ANN HTG 99.6% CONDNS DB,-17.40,0.00,-17.40,Wetbulb [C],3.30,160.00
,DENVER INTL AP ANN CLG .4% CONDNS WB=>MDB,27.30,15.20,18.30,Wetbulb [C],4.20,80.00


Monthly Precipitation Summary

,,Monthly Total Precipitation from .epw [mm],Monthly Total Hours of Rain from .epw,Monthly Total Precipitation in Site:Precipitation [mm],Monthly Total Roof Irrigation Depth [mm],Monthly Total Rain Collection Volume [m3]
,Jan,0.00,0,744000.00,,
,Feb,9.00,8,672000.00,,
,Mar,12.00,6,744000.00,,
,Apr,101.00,43,720000.00,,
,May,41.00,14,744000.00,,
,Jun,20.00,4,720000.00,,
,Jul,89.00,18,744000.00,,
,Aug,9.00,5,744000.00,,
,Sep,0.00,0,720000.00,,
,Oct,5.00,2,744000.00,,
,Nov,5.00,3,720000.00,,
,Dec,1.00,1,744000.00,,


Weather Statistics File

,,Value
,None,


----------------------------------------------------------------------------------------------------
REPORT:,Envelope Summary
FOR:,Entire Facility
Opaque Exterior

,,Construction,Zone,Space,Reflectance,U-Factor with Film [W/m2-K],U-Factor no Film [W/m2-K],Gross Area [m2],Net Area [m2],Azimuth [deg],Tilt [deg],Cardinal Direction
,MECH:MECH_WALL_4_0_0,CEA_DENVER EXTERNAL WALL - ELEVATOR,MECH:MECH,MECH:MECH,0.30,4.201,11.319,19.32,19.32,270.00,90.00,W
,MECH:MECH_GROUNDFLOOR_0_0_0,CEA_DENVER FLOOR - GROWINGAREA,MECH:MECH,MECH:MECH,0.30,4.364,14.895,22.10,22.10,0.00,180.00,
,MECH:MECH_GROUNDFLOOR_0_0_1,CEA_DENVER FLOOR - GROWINGAREA,MECH:MECH,MECH:MECH,0.30,4.364,14.895,36.29,36.29,0.00,180.00,
,MECH:MECH_ROOF_1_0_0,CEA_DENVER ROOF - GROWINGAREA,MECH:MECH,MECH:MECH,0.40,0.107,0.108,17.34,17.34,180.00,0.00,
,MECH:MECH_ROOF_1_0_1,CEA_DENVER ROOF - GROWINGAREA,MECH:MECH,MECH:MECH,0.40,0.107,0.108,41.06,41.06,180.00,0.00,
,ELEVATOR:ELEVATOR_WALL_2_0_0,CEA_DENVER EXTERNAL WALL - ELEVATOR,ELEVATOR:ELEVATOR,ELEVATOR:ELEVATOR,0.30,4.201,11.319,20.80,20.80,90.00,90.00,E
,ELEVATOR:ELEVATOR_WALL_2_1_0,CEA_DENVER EXTERNAL WALL - ELEVATOR,ELEVATOR:ELEVATOR,ELEVATOR:ELEVATOR,0.30,4.805,11.319,3.47,3.47,90.00,90.00,E
,ELEVATOR:ELEVATOR_WALL_3_4_0,CEA_DENVER EXTERNAL WALL - ELEVATOR,ELEVATOR:ELEVATOR,ELEVATOR:ELEVATOR,0.30,4.805,11.319,8.67,8.67,0.00,90.00,N
,ELEVATOR:ELEVATOR_WALL_4_1_0,CEA_DENVER EXTERNAL WALL - ELEVATOR,ELEVATOR:ELEVATOR,ELEVATOR:ELEVATOR,0.30,4.201,11.319,20.80,20.80,270.00,90.00,W
,ELEVATOR:ELEVATOR_WALL_4_2_0,CEA_DENVER EXTERNAL WALL - ELEVATOR,ELEVATOR:ELEVATOR,ELEVATOR:ELEVATOR,0.30,4.805,11.319,3.47,3.47,270.00,90.00,W
,ELEVATOR:ELEVATOR_WALL_5_1_0,CEA_DENVER EXTERNAL WALL - ELEVATOR,ELEVATOR:ELEVATOR,ELEVATOR:ELEVATOR,0.30,4.201,11.319,52.02,52.02,180.00,90.00,S
,ELEVATOR:ELEVATOR_WALL_5_2_0,CEA_DENVER EXTERNAL WALL - ELEVATOR,ELEVATOR:ELEVATOR,ELEVATOR:ELEVATOR,0.30,4.805,11.319,8.67,8.67,180.00,90.00,S
,ELEVATOR:ELEVATOR_GROUNDFLOOR_0_0_0,CEA_DENVER FLOOR - GROWINGAREA,ELEVATOR:ELEVATOR,ELEVATOR:ELEVATOR,0.30,4.364,14.895,20.22,20.22,0.00,180.00,
,ELEVATOR:ELEVATOR_ROOF_1_0_0,CEA_DENVER ROOF - GROWINGAREA,ELEVATOR:ELEVATOR,ELEVATOR:ELEVATOR,0.40,0.107,0.108,20.22,20.22,180.00,0.00,
,STAIRS1:STAIRS1_WALL_2_0_0,CEA_DENVER EXTERNAL WALL - ELEVATOR,STAIRS1:STAIRS1,STAIRS1:STAIRS1,0.30,4.201,11.319,20.07,20.07,90.00,90.00,E
,STAIRS1:STAIRS1_WALL_4_0_0,CEA_DENVER EXTERNAL WALL - ELEVATOR,STAIRS1:STAIRS1,STAIRS1:STAIRS1,0.30,4.201,11.319,20.07,20.07,270.00,90.00,W
,STAIRS1:STAIRS1_WALL_5_0_0,CEA_DENVER EXTERNAL WALL - ELEVATOR,STAIRS1:STAIRS1,STAIRS1:STAIRS1,0.30,4.201,11.319,47.93,47.93,180.00,90.00,S
